Epoch: [0][0/1134], lr: 0.00500	Time 16.907 (16.907)	Data 6.233 (6.233)	Loss 5.4188 (5.4188)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/1134], lr: 0.00500	Time 0.901 (1.892)	Data 0.144 (0.619)	Loss 5.4294 (5.4279)	Prec@1 6.250 (1.190)	Prec@5 9.375 (4.018)
Epoch: [0][40/1134], lr: 0.00500	Time 0.759 (1.735)	Data 0.000 (0.710)	Loss 5.3186 (5.3659)	Prec@1 3.125 (2.287)	Prec@5 9.375 (6.021)
Epoch: [0][60/1134], lr: 0.00500	Time 0.766 (1.686)	Data 0.000 (0.747)	Loss 4.8142 (5.2678)	Prec@1 3.125 (2.818)	Prec@5 18.750 (8.197)
Epoch: [0][80/1134], lr: 0.00500	Time 0.760 (1.628)	Data 0.000 (0.731)	Loss 4.6082 (5.1451)	Prec@1 9.375 (3.704)	Prec@5 21.875 (11.150)
Epoch: [0][100/1134], lr: 0.00500	Time 0.760 (1.622)	Data 0.000 (0.752)	Loss 4.5354 (5.0340)	Prec@1 9.375 (4.425)	Prec@5 28.125 (13.150)
Epoch: [0][120/1134], lr: 0.00500	Time 0.760 (1.628)	Data 0.000 (0.774)	Loss 3.9502 (4.9034)	Prec@1 6.250 (5.114)	Prec@5 34.375 (15.625)
Epoch: [0][140/1134], lr: 0.00500	Time 0.825 (1.610)	Data 0.000 (0.767)	Loss 3.6825 (4.7789)	Prec@1 18.750 (5.718)	Prec@5 46.875 (18.196)
Epoch: [0][160/1134], lr: 0.00500	Time 0.762 (1.609)	Data 0.000 (0.775)	Loss 3.8967 (4.6520)	Prec@1 15.625 (6.735)	Prec@5 43.750 (20.652)
Epoch: [0][180/1134], lr: 0.00500	Time 0.760 (1.604)	Data 0.000 (0.777)	Loss 3.8787 (4.5214)	Prec@1 9.375 (8.149)	Prec@5 34.375 (23.584)
Epoch: [0][200/1134], lr: 0.00500	Time 0.821 (1.606)	Data 0.000 (0.785)	Loss 3.3460 (4.4149)	Prec@1 21.875 (9.328)	Prec@5 46.875 (25.886)
Epoch: [0][220/1134], lr: 0.00500	Time 0.762 (1.602)	Data 0.000 (0.784)	Loss 3.8269 (4.3155)	Prec@1 18.750 (10.436)	Prec@5 21.875 (28.266)
Epoch: [0][240/1134], lr: 0.00500	Time 0.759 (1.602)	Data 0.000 (0.789)	Loss 2.9876 (4.2094)	Prec@1 15.625 (11.489)	Prec@5 50.000 (30.628)
Epoch: [0][260/1134], lr: 0.00500	Time 0.764 (1.601)	Data 0.000 (0.790)	Loss 2.8746 (4.1090)	Prec@1 21.875 (12.847)	Prec@5 68.750 (32.974)
Epoch: [0][280/1134], lr: 0.00500	Time 0.762 (1.601)	Data 0.000 (0.793)	Loss 2.7772 (4.0130)	Prec@1 31.250 (13.901)	Prec@5 59.375 (35.176)
Epoch: [0][300/1134], lr: 0.00500	Time 0.833 (1.596)	Data 0.000 (0.791)	Loss 3.2065 (3.9223)	Prec@1 25.000 (15.023)	Prec@5 50.000 (37.303)
Epoch: [0][320/1134], lr: 0.00500	Time 0.763 (1.597)	Data 0.000 (0.794)	Loss 2.0663 (3.8423)	Prec@1 40.625 (15.878)	Prec@5 93.750 (39.126)
Epoch: [0][340/1134], lr: 0.00500	Time 0.762 (1.589)	Data 0.000 (0.787)	Loss 2.8499 (3.7645)	Prec@1 25.000 (17.064)	Prec@5 62.500 (40.937)
Epoch: [0][360/1134], lr: 0.00500	Time 0.815 (1.587)	Data 0.000 (0.787)	Loss 2.0932 (3.6841)	Prec@1 40.625 (18.222)	Prec@5 75.000 (42.841)
Epoch: [0][380/1134], lr: 0.00500	Time 0.762 (1.587)	Data 0.000 (0.789)	Loss 2.0679 (3.6165)	Prec@1 37.500 (19.070)	Prec@5 87.500 (44.554)
Epoch: [0][400/1134], lr: 0.00500	Time 0.762 (1.584)	Data 0.000 (0.786)	Loss 2.0675 (3.5535)	Prec@1 46.875 (20.114)	Prec@5 78.125 (45.971)
Epoch: [0][420/1134], lr: 0.00500	Time 0.760 (1.581)	Data 0.000 (0.785)	Loss 2.2648 (3.4916)	Prec@1 40.625 (21.103)	Prec@5 71.875 (47.506)
Epoch: [0][440/1134], lr: 0.00500	Time 0.762 (1.585)	Data 0.000 (0.790)	Loss 1.9406 (3.4311)	Prec@1 43.750 (21.946)	Prec@5 84.375 (48.937)
Epoch: [0][460/1134], lr: 0.00500	Time 0.762 (1.580)	Data 0.000 (0.786)	Loss 1.8292 (3.3723)	Prec@1 46.875 (22.885)	Prec@5 87.500 (50.210)
Epoch: [0][480/1134], lr: 0.00500	Time 0.762 (1.580)	Data 0.000 (0.786)	Loss 2.5033 (3.3184)	Prec@1 40.625 (23.837)	Prec@5 65.625 (51.416)
Epoch: [0][500/1134], lr: 0.00500	Time 0.761 (1.582)	Data 0.000 (0.789)	Loss 1.9370 (3.2645)	Prec@1 46.875 (24.707)	Prec@5 81.250 (52.570)
Epoch: [0][520/1134], lr: 0.00500	Time 0.761 (1.581)	Data 0.000 (0.789)	Loss 2.1914 (3.2117)	Prec@1 34.375 (25.600)	Prec@5 68.750 (53.719)
Epoch: [0][540/1134], lr: 0.00500	Time 0.762 (1.580)	Data 0.000 (0.789)	Loss 1.7784 (3.1599)	Prec@1 46.875 (26.513)	Prec@5 84.375 (54.881)
Epoch: [0][560/1134], lr: 0.00500	Time 0.763 (1.576)	Data 0.000 (0.786)	Loss 1.7229 (3.1127)	Prec@1 53.125 (27.295)	Prec@5 90.625 (55.955)
Epoch: [0][580/1134], lr: 0.00500	Time 0.763 (1.574)	Data 0.000 (0.784)	Loss 1.5438 (3.0666)	Prec@1 59.375 (28.136)	Prec@5 87.500 (56.944)
Epoch: [0][600/1134], lr: 0.00500	Time 0.762 (1.573)	Data 0.000 (0.784)	Loss 1.8107 (3.0200)	Prec@1 43.750 (28.973)	Prec@5 87.500 (57.992)
Epoch: [0][620/1134], lr: 0.00500	Time 0.763 (1.575)	Data 0.000 (0.786)	Loss 1.7521 (2.9786)	Prec@1 50.000 (29.755)	Prec@5 84.375 (58.857)
Epoch: [0][640/1134], lr: 0.00500	Time 0.762 (1.574)	Data 0.000 (0.786)	Loss 1.3920 (2.9328)	Prec@1 59.375 (30.665)	Prec@5 81.250 (59.780)
Epoch: [0][660/1134], lr: 0.00500	Time 0.764 (1.574)	Data 0.000 (0.787)	Loss 1.6020 (2.8914)	Prec@1 59.375 (31.444)	Prec@5 84.375 (60.633)
Epoch: [0][680/1134], lr: 0.00500	Time 0.763 (1.573)	Data 0.000 (0.785)	Loss 1.7291 (2.8537)	Prec@1 50.000 (32.177)	Prec@5 87.500 (61.399)
Epoch: [0][700/1134], lr: 0.00500	Time 0.763 (1.574)	Data 0.000 (0.787)	Loss 1.6578 (2.8175)	Prec@1 59.375 (32.846)	Prec@5 90.625 (62.175)
Epoch: [0][720/1134], lr: 0.00500	Time 0.762 (1.573)	Data 0.000 (0.787)	Loss 1.4686 (2.7841)	Prec@1 62.500 (33.443)	Prec@5 90.625 (62.899)
Epoch: [0][740/1134], lr: 0.00500	Time 0.760 (1.573)	Data 0.000 (0.787)	Loss 1.2223 (2.7488)	Prec@1 59.375 (34.156)	Prec@5 93.750 (63.634)
Epoch: [0][760/1134], lr: 0.00500	Time 0.761 (1.576)	Data 0.000 (0.790)	Loss 1.6881 (2.7146)	Prec@1 56.250 (34.761)	Prec@5 87.500 (64.356)
Epoch: [0][780/1134], lr: 0.00500	Time 0.762 (1.576)	Data 0.000 (0.790)	Loss 1.1998 (2.6807)	Prec@1 65.625 (35.339)	Prec@5 93.750 (65.053)
Epoch: [0][800/1134], lr: 0.00500	Time 0.763 (1.576)	Data 0.000 (0.790)	Loss 1.2886 (2.6470)	Prec@1 65.625 (36.010)	Prec@5 93.750 (65.687)
Epoch: [0][820/1134], lr: 0.00500	Time 0.761 (1.574)	Data 0.000 (0.789)	Loss 1.3175 (2.6172)	Prec@1 62.500 (36.590)	Prec@5 90.625 (66.303)
Epoch: [0][840/1134], lr: 0.00500	Time 0.826 (1.576)	Data 0.000 (0.791)	Loss 1.8261 (2.5886)	Prec@1 50.000 (37.117)	Prec@5 84.375 (66.892)
