Epoch: [0][0/1017], lr: 0.00500	Time 17.060 (17.060)	Data 5.881 (5.881)	Loss 5.4183 (5.4183)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [0][20/1017], lr: 0.00500	Time 0.749 (1.823)	Data 0.000 (0.534)	Loss 5.3258 (5.4227)	Prec@1 0.000 (1.190)	Prec@5 0.000 (4.315)
Epoch: [0][40/1017], lr: 0.00500	Time 0.899 (1.577)	Data 0.148 (0.549)	Loss 5.2624 (5.3594)	Prec@1 3.125 (1.448)	Prec@5 12.500 (5.869)
Epoch: [0][60/1017], lr: 0.00500	Time 0.980 (1.498)	Data 0.229 (0.560)	Loss 4.9731 (5.2547)	Prec@1 9.375 (2.459)	Prec@5 12.500 (8.607)
Epoch: [0][80/1017], lr: 0.00500	Time 0.917 (1.449)	Data 0.165 (0.558)	Loss 4.7134 (5.1376)	Prec@1 0.000 (3.048)	Prec@5 15.625 (10.764)
Epoch: [0][100/1017], lr: 0.00500	Time 0.961 (1.412)	Data 0.162 (0.548)	Loss 4.1394 (5.0176)	Prec@1 9.375 (3.775)	Prec@5 40.625 (13.583)
Epoch: [0][120/1017], lr: 0.00500	Time 0.921 (1.387)	Data 0.169 (0.542)	Loss 3.6638 (4.8679)	Prec@1 15.625 (4.907)	Prec@5 46.875 (16.839)
Epoch: [0][140/1017], lr: 0.00500	Time 1.051 (1.370)	Data 0.298 (0.537)	Loss 3.7822 (4.7458)	Prec@1 25.000 (5.829)	Prec@5 40.625 (19.171)
Epoch: [0][160/1017], lr: 0.00500	Time 0.915 (1.357)	Data 0.162 (0.534)	Loss 3.5764 (4.6220)	Prec@1 12.500 (7.046)	Prec@5 43.750 (21.603)
Epoch: [0][180/1017], lr: 0.00500	Time 0.918 (1.347)	Data 0.164 (0.532)	Loss 3.3681 (4.4966)	Prec@1 21.875 (8.356)	Prec@5 56.250 (24.378)
Epoch: [0][200/1017], lr: 0.00500	Time 0.954 (1.339)	Data 0.200 (0.529)	Loss 3.5077 (4.3768)	Prec@1 28.125 (9.873)	Prec@5 40.625 (26.975)
Epoch: [0][220/1017], lr: 0.00500	Time 1.208 (1.333)	Data 0.454 (0.529)	Loss 2.9840 (4.2739)	Prec@1 18.750 (11.072)	Prec@5 68.750 (29.143)
Epoch: [0][240/1017], lr: 0.00500	Time 1.381 (1.328)	Data 0.552 (0.528)	Loss 2.9215 (4.1699)	Prec@1 25.000 (12.150)	Prec@5 65.625 (31.626)
Epoch: [0][260/1017], lr: 0.00500	Time 1.547 (1.323)	Data 0.793 (0.526)	Loss 3.4698 (4.0766)	Prec@1 15.625 (13.123)	Prec@5 50.000 (33.776)
Epoch: [0][280/1017], lr: 0.00500	Time 1.390 (1.319)	Data 0.561 (0.524)	Loss 2.8465 (3.9890)	Prec@1 31.250 (14.224)	Prec@5 56.250 (35.899)
Epoch: [0][300/1017], lr: 0.00500	Time 1.380 (1.315)	Data 0.625 (0.523)	Loss 2.5913 (3.8946)	Prec@1 34.375 (15.583)	Prec@5 62.500 (37.957)
Epoch: [0][320/1017], lr: 0.00500	Time 1.698 (1.313)	Data 0.945 (0.523)	Loss 2.7493 (3.8139)	Prec@1 31.250 (16.550)	Prec@5 65.625 (39.895)
Epoch: [0][340/1017], lr: 0.00500	Time 1.796 (1.310)	Data 1.043 (0.522)	Loss 2.4191 (3.7365)	Prec@1 31.250 (17.568)	Prec@5 65.625 (41.725)
Epoch: [0][360/1017], lr: 0.00500	Time 2.177 (1.308)	Data 1.424 (0.522)	Loss 2.1887 (3.6641)	Prec@1 53.125 (18.715)	Prec@5 84.375 (43.360)
Epoch: [0][380/1017], lr: 0.00500	Time 2.131 (1.305)	Data 1.377 (0.521)	Loss 2.1735 (3.5938)	Prec@1 31.250 (19.718)	Prec@5 81.250 (44.997)
Epoch: [0][400/1017], lr: 0.00500	Time 2.351 (1.304)	Data 1.598 (0.521)	Loss 2.1304 (3.5243)	Prec@1 46.875 (20.729)	Prec@5 71.875 (46.571)
