Epoch: [0][0/1201], lr: 0.00500	Time 16.588 (16.588)	Data 10.081 (10.081)	Loss 0.0188 (0.0188)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [0][20/1201], lr: 0.00500	Time 7.439 (3.032)	Data 6.777 (2.084)	Loss 0.1831 (0.1041)	Prec@1 96.667 (97.460)	Prec@5 96.667 (99.048)
Epoch: [0][40/1201], lr: 0.00500	Time 8.834 (2.927)	Data 8.156 (2.118)	Loss 0.1987 (0.1116)	Prec@1 96.667 (97.236)	Prec@5 100.000 (99.431)
Epoch: [0][60/1201], lr: 0.00500	Time 7.169 (2.775)	Data 6.481 (2.013)	Loss 0.0113 (0.1113)	Prec@1 100.000 (97.268)	Prec@5 100.000 (99.454)
Epoch: [0][80/1201], lr: 0.00500	Time 8.743 (2.742)	Data 8.051 (2.004)	Loss 0.0462 (0.1175)	Prec@1 100.000 (96.872)	Prec@5 100.000 (99.465)
Epoch: [0][100/1201], lr: 0.00500	Time 6.936 (2.667)	Data 6.255 (1.943)	Loss 0.1774 (0.1199)	Prec@1 96.667 (96.898)	Prec@5 100.000 (99.406)
Epoch: [0][120/1201], lr: 0.00500	Time 6.774 (2.633)	Data 6.088 (1.919)	Loss 0.2441 (0.1273)	Prec@1 93.333 (96.639)	Prec@5 96.667 (99.339)
Epoch: [0][140/1201], lr: 0.00500	Time 6.635 (2.600)	Data 5.954 (1.893)	Loss 0.0703 (0.1300)	Prec@1 100.000 (96.548)	Prec@5 100.000 (99.362)
Epoch: [0][160/1201], lr: 0.00500	Time 5.371 (2.577)	Data 4.690 (1.875)	Loss 0.3123 (0.1340)	Prec@1 86.667 (96.439)	Prec@5 96.667 (99.358)
Epoch: [0][180/1201], lr: 0.00500	Time 6.371 (2.581)	Data 5.697 (1.882)	Loss 0.2161 (0.1329)	Prec@1 93.333 (96.409)	Prec@5 96.667 (99.392)
Epoch: [0][200/1201], lr: 0.00500	Time 7.043 (2.567)	Data 6.355 (1.872)	Loss 0.1273 (0.1362)	Prec@1 96.667 (96.352)	Prec@5 100.000 (99.386)
Epoch: [0][220/1201], lr: 0.00500	Time 9.607 (2.567)	Data 8.928 (1.875)	Loss 0.0961 (0.1394)	Prec@1 96.667 (96.350)	Prec@5 100.000 (99.397)
Epoch: [0][240/1201], lr: 0.00500	Time 7.078 (2.550)	Data 6.398 (1.860)	Loss 0.0339 (0.1398)	Prec@1 100.000 (96.390)	Prec@5 100.000 (99.378)
Epoch: [0][260/1201], lr: 0.00500	Time 6.926 (2.533)	Data 6.246 (1.844)	Loss 0.0498 (0.1438)	Prec@1 100.000 (96.296)	Prec@5 100.000 (99.336)
