Epoch: [0][0/1085], lr: 0.00500	Time 14.925 (14.925)	Data 7.997 (7.997)	Loss 0.0277 (0.0277)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [0][20/1085], lr: 0.00500	Time 4.371 (2.031)	Data 3.702 (1.045)	Loss 0.0746 (0.0781)	Prec@1 96.667 (97.143)	Prec@5 100.000 (99.841)
Epoch: [0][40/1085], lr: 0.00500	Time 8.019 (2.273)	Data 7.348 (1.442)	Loss 0.2611 (0.1202)	Prec@1 93.333 (96.423)	Prec@5 100.000 (99.675)
Epoch: [0][60/1085], lr: 0.00500	Time 7.797 (2.301)	Data 7.128 (1.524)	Loss 0.3229 (0.1561)	Prec@1 90.000 (95.355)	Prec@5 96.667 (99.344)
Epoch: [0][80/1085], lr: 0.00500	Time 5.748 (2.297)	Data 5.073 (1.547)	Loss 0.3511 (0.1630)	Prec@1 93.333 (95.267)	Prec@5 100.000 (99.342)
Epoch: [0][100/1085], lr: 0.00500	Time 3.668 (2.288)	Data 3.001 (1.554)	Loss 0.2553 (0.1696)	Prec@1 90.000 (95.016)	Prec@5 100.000 (99.406)
Epoch: [0][120/1085], lr: 0.00500	Time 3.093 (2.297)	Data 2.424 (1.574)	Loss 0.3281 (0.1888)	Prec@1 93.333 (94.573)	Prec@5 100.000 (99.311)
Epoch: [0][140/1085], lr: 0.00500	Time 3.441 (2.306)	Data 2.758 (1.590)	Loss 0.1257 (0.1906)	Prec@1 96.667 (94.492)	Prec@5 100.000 (99.338)
Epoch: [0][160/1085], lr: 0.00500	Time 3.095 (2.308)	Data 2.431 (1.598)	Loss 0.3867 (0.1900)	Prec@1 90.000 (94.513)	Prec@5 96.667 (99.337)
Epoch: [0][180/1085], lr: 0.00500	Time 1.915 (2.313)	Data 1.242 (1.608)	Loss 0.5574 (0.1952)	Prec@1 90.000 (94.438)	Prec@5 100.000 (99.374)
Epoch: [0][200/1085], lr: 0.00500	Time 1.697 (2.315)	Data 1.032 (1.613)	Loss 0.1103 (0.1996)	Prec@1 96.667 (94.279)	Prec@5 100.000 (99.303)
Epoch: [0][220/1085], lr: 0.00500	Time 0.712 (2.313)	Data 0.045 (1.614)	Loss 0.0321 (0.2011)	Prec@1 100.000 (94.284)	Prec@5 100.000 (99.306)
Epoch: [0][240/1085], lr: 0.00500	Time 0.666 (2.318)	Data 0.000 (1.622)	Loss 0.4256 (0.2005)	Prec@1 86.667 (94.274)	Prec@5 100.000 (99.336)
