Epoch: [0][0/879], lr: 0.00500	Time 23.319 (23.319)	Data 9.313 (9.313)	Loss 5.4155 (5.4155)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)
Epoch: [0][20/879], lr: 0.00500	Time 0.698 (2.516)	Data 0.000 (1.163)	Loss 5.9880 (5.7458)	Prec@1 0.000 (0.595)	Prec@5 0.000 (3.125)
Epoch: [0][40/879], lr: 0.00500	Time 1.339 (2.351)	Data 0.639 (1.316)	Loss 5.6156 (5.7165)	Prec@1 0.000 (0.610)	Prec@5 0.000 (2.820)
Epoch: [0][60/879], lr: 0.00500	Time 1.042 (2.265)	Data 0.340 (1.337)	Loss 5.5202 (5.6651)	Prec@1 0.000 (0.871)	Prec@5 6.250 (2.869)
Epoch: [0][80/879], lr: 0.00500	Time 0.714 (2.244)	Data 0.000 (1.370)	Loss 5.5355 (5.6241)	Prec@1 3.125 (0.694)	Prec@5 9.375 (2.701)
Epoch: [0][100/879], lr: 0.00500	Time 1.537 (2.335)	Data 0.821 (1.494)	Loss 5.4299 (5.5836)	Prec@1 0.000 (0.712)	Prec@5 0.000 (2.754)
Epoch: [0][120/879], lr: 0.00500	Time 1.373 (2.303)	Data 0.648 (1.482)	Loss 5.4059 (5.5552)	Prec@1 0.000 (0.723)	Prec@5 3.125 (2.789)
Epoch: [0][140/879], lr: 0.00500	Time 1.237 (2.280)	Data 0.507 (1.474)	Loss 5.3618 (5.5276)	Prec@1 0.000 (0.665)	Prec@5 0.000 (2.859)
Epoch: [0][160/879], lr: 0.00500	Time 1.387 (2.253)	Data 0.666 (1.458)	Loss 5.3598 (5.5048)	Prec@1 0.000 (0.699)	Prec@5 3.125 (3.028)
Epoch: [0][180/879], lr: 0.00500	Time 1.414 (2.231)	Data 0.683 (1.444)	Loss 5.3521 (5.4817)	Prec@1 0.000 (0.708)	Prec@5 0.000 (3.194)
Epoch: [0][200/879], lr: 0.00500	Time 1.910 (2.214)	Data 1.175 (1.432)	Loss 5.3812 (5.4609)	Prec@1 0.000 (0.746)	Prec@5 3.125 (3.545)
Epoch: [0][220/879], lr: 0.00500	Time 1.508 (2.194)	Data 0.777 (1.418)	Loss 5.2053 (5.4371)	Prec@1 3.125 (0.764)	Prec@5 3.125 (3.804)
Epoch: [0][240/879], lr: 0.00500	Time 1.146 (2.177)	Data 0.414 (1.405)	Loss 5.1505 (5.4116)	Prec@1 0.000 (0.830)	Prec@5 0.000 (3.955)
Epoch: [0][260/879], lr: 0.00500	Time 0.714 (2.168)	Data 0.000 (1.399)	Loss 4.7853 (5.3771)	Prec@1 0.000 (0.982)	Prec@5 18.750 (4.454)
Epoch: [0][280/879], lr: 0.00500	Time 0.712 (2.160)	Data 0.000 (1.394)	Loss 5.2277 (5.3490)	Prec@1 3.125 (1.068)	Prec@5 6.250 (4.804)
Epoch: [0][300/879], lr: 0.00500	Time 0.708 (2.157)	Data 0.000 (1.394)	Loss 4.7046 (5.3132)	Prec@1 0.000 (1.235)	Prec@5 12.500 (5.357)
Epoch: [0][320/879], lr: 0.00500	Time 0.705 (2.150)	Data 0.000 (1.389)	Loss 4.6656 (5.2755)	Prec@1 0.000 (1.412)	Prec@5 6.250 (5.802)
Epoch: [0][340/879], lr: 0.00500	Time 1.132 (2.142)	Data 0.401 (1.383)	Loss 4.8094 (5.2416)	Prec@1 6.250 (1.521)	Prec@5 9.375 (6.268)
Epoch: [0][360/879], lr: 0.00500	Time 1.187 (2.135)	Data 0.482 (1.378)	Loss 4.2329 (5.2040)	Prec@1 6.250 (1.601)	Prec@5 43.750 (6.787)
Epoch: [0][380/879], lr: 0.00500	Time 0.923 (2.131)	Data 0.131 (1.374)	Loss 4.5650 (5.1685)	Prec@1 3.125 (1.796)	Prec@5 15.625 (7.349)
Epoch: [0][400/879], lr: 0.00500	Time 1.101 (2.126)	Data 0.383 (1.371)	Loss 4.3183 (5.1334)	Prec@1 6.250 (1.940)	Prec@5 28.125 (7.894)
Epoch: [0][420/879], lr: 0.00500	Time 0.760 (2.124)	Data 0.000 (1.370)	Loss 4.2974 (5.0903)	Prec@1 9.375 (2.123)	Prec@5 25.000 (8.625)
Epoch: [0][440/879], lr: 0.00500	Time 1.652 (2.122)	Data 0.874 (1.369)	Loss 4.0130 (5.0531)	Prec@1 6.250 (2.218)	Prec@5 31.250 (9.155)
Epoch: [0][460/879], lr: 0.00500	Time 1.624 (2.118)	Data 0.894 (1.366)	Loss 3.7086 (5.0127)	Prec@1 18.750 (2.501)	Prec@5 34.375 (9.850)
Epoch: [0][480/879], lr: 0.00500	Time 2.312 (2.114)	Data 1.580 (1.364)	Loss 3.9525 (4.9715)	Prec@1 9.375 (2.800)	Prec@5 31.250 (10.629)
Epoch: [0][500/879], lr: 0.00500	Time 1.932 (2.110)	Data 1.198 (1.361)	Loss 4.2250 (4.9324)	Prec@1 9.375 (3.056)	Prec@5 25.000 (11.421)
Epoch: [0][520/879], lr: 0.00500	Time 1.371 (2.108)	Data 0.650 (1.360)	Loss 3.9339 (4.8941)	Prec@1 3.125 (3.293)	Prec@5 21.875 (12.194)
Epoch: [0][540/879], lr: 0.00500	Time 2.185 (2.109)	Data 1.449 (1.361)	Loss 3.4848 (4.8529)	Prec@1 12.500 (3.570)	Prec@5 46.875 (13.089)
Epoch: [0][560/879], lr: 0.00500	Time 1.614 (2.106)	Data 0.878 (1.359)	Loss 3.7063 (4.8146)	Prec@1 15.625 (3.838)	Prec@5 43.750 (13.881)
Epoch: [0][580/879], lr: 0.00500	Time 1.957 (2.105)	Data 1.179 (1.358)	Loss 3.3096 (4.7756)	Prec@1 15.625 (4.115)	Prec@5 53.125 (14.775)
Epoch: [0][600/879], lr: 0.00500	Time 0.990 (2.104)	Data 0.267 (1.358)	Loss 3.1621 (4.7337)	Prec@1 31.250 (4.487)	Prec@5 50.000 (15.729)
Epoch: [0][620/879], lr: 0.00500	Time 0.769 (2.105)	Data 0.000 (1.360)	Loss 4.0358 (4.6948)	Prec@1 12.500 (4.841)	Prec@5 28.125 (16.571)
Epoch: [0][640/879], lr: 0.00500	Time 0.725 (2.106)	Data 0.000 (1.361)	Loss 3.2137 (4.6534)	Prec@1 15.625 (5.192)	Prec@5 53.125 (17.487)
Epoch: [0][660/879], lr: 0.00500	Time 0.708 (2.107)	Data 0.000 (1.362)	Loss 3.3457 (4.6111)	Prec@1 18.750 (5.621)	Prec@5 31.250 (18.447)
Epoch: [0][680/879], lr: 0.00500	Time 0.718 (2.107)	Data 0.000 (1.363)	Loss 3.5046 (4.5695)	Prec@1 15.625 (6.066)	Prec@5 46.875 (19.429)
Epoch: [0][700/879], lr: 0.00500	Time 1.026 (2.109)	Data 0.280 (1.365)	Loss 3.4888 (4.5321)	Prec@1 9.375 (6.446)	Prec@5 50.000 (20.310)
Epoch: [0][720/879], lr: 0.00500	Time 0.723 (2.110)	Data 0.000 (1.366)	Loss 3.0061 (4.4940)	Prec@1 18.750 (6.865)	Prec@5 46.875 (21.147)
Epoch: [0][740/879], lr: 0.00500	Time 0.904 (2.111)	Data 0.167 (1.368)	Loss 3.1421 (4.4562)	Prec@1 21.875 (7.186)	Prec@5 53.125 (22.056)
Epoch: [0][760/879], lr: 0.00500	Time 2.060 (2.113)	Data 1.326 (1.371)	Loss 2.6129 (4.4192)	Prec@1 25.000 (7.498)	Prec@5 81.250 (22.955)
Epoch: [0][780/879], lr: 0.00500	Time 0.712 (2.113)	Data 0.000 (1.371)	Loss 2.7701 (4.3816)	Prec@1 25.000 (7.895)	Prec@5 62.500 (23.868)
Epoch: [0][800/879], lr: 0.00500	Time 1.042 (2.115)	Data 0.326 (1.374)	Loss 3.0288 (4.3476)	Prec@1 21.875 (8.197)	Prec@5 43.750 (24.637)
