Epoch: [0][0/938], lr: 0.00500	Time 21.046 (21.046)	Data 6.732 (6.732)	Loss 5.4142 (5.4142)	Prec@1 0.000 (0.000)	Prec@5 3.333 (3.333)
Epoch: [0][20/938], lr: 0.00500	Time 1.124 (2.030)	Data 0.502 (0.759)	Loss 6.4860 (5.9108)	Prec@1 0.000 (0.635)	Prec@5 0.000 (1.746)
Epoch: [0][40/938], lr: 0.00500	Time 0.628 (1.872)	Data 0.000 (0.911)	Loss 6.3042 (6.0892)	Prec@1 0.000 (0.488)	Prec@5 3.333 (2.033)
Epoch: [0][60/938], lr: 0.00500	Time 0.630 (1.799)	Data 0.000 (0.945)	Loss 5.4596 (6.0303)	Prec@1 0.000 (0.546)	Prec@5 0.000 (2.295)
Epoch: [0][80/938], lr: 0.00500	Time 0.629 (1.775)	Data 0.000 (0.975)	Loss 5.2847 (5.9244)	Prec@1 0.000 (0.535)	Prec@5 6.667 (3.045)
Epoch: [0][100/938], lr: 0.00500	Time 0.634 (1.750)	Data 0.000 (0.983)	Loss 5.2641 (5.8147)	Prec@1 0.000 (0.957)	Prec@5 6.667 (3.927)
Epoch: [0][120/938], lr: 0.00500	Time 0.635 (1.742)	Data 0.000 (0.998)	Loss 5.1797 (5.7225)	Prec@1 3.333 (1.185)	Prec@5 6.667 (4.573)
Epoch: [0][140/938], lr: 0.00500	Time 0.617 (1.722)	Data 0.000 (0.993)	Loss 4.8809 (5.6233)	Prec@1 3.333 (1.418)	Prec@5 13.333 (5.603)
Epoch: [0][160/938], lr: 0.00500	Time 0.630 (1.714)	Data 0.000 (0.997)	Loss 4.6426 (5.5280)	Prec@1 3.333 (1.760)	Prec@5 20.000 (6.605)
Epoch: [0][180/938], lr: 0.00500	Time 0.630 (1.706)	Data 0.000 (0.998)	Loss 4.4767 (5.4386)	Prec@1 6.667 (2.026)	Prec@5 23.333 (7.569)
Epoch: [0][200/938], lr: 0.00500	Time 0.622 (1.704)	Data 0.000 (1.004)	Loss 4.7677 (5.3542)	Prec@1 0.000 (2.272)	Prec@5 6.667 (8.673)
Epoch: [0][220/938], lr: 0.00500	Time 0.625 (1.710)	Data 0.000 (1.015)	Loss 5.1087 (5.2728)	Prec@1 0.000 (2.534)	Prec@5 6.667 (9.849)
Epoch: [0][240/938], lr: 0.00500	Time 0.604 (1.707)	Data 0.000 (1.019)	Loss 4.3524 (5.1957)	Prec@1 6.667 (2.752)	Prec@5 23.333 (10.954)
Epoch: [0][260/938], lr: 0.00500	Time 0.639 (1.707)	Data 0.000 (1.024)	Loss 4.4693 (5.1196)	Prec@1 3.333 (3.078)	Prec@5 16.667 (12.171)
Epoch: [0][280/938], lr: 0.00500	Time 0.604 (1.701)	Data 0.000 (1.022)	Loss 4.2584 (5.0567)	Prec@1 3.333 (3.416)	Prec@5 26.667 (13.132)
